Comment,Designator,Footprint,LCSC
DAC0808LCMX/NOPB,U3,SOIC-16_3.9x9.9mm_P1.27mm,C132006
10u,"C1,C12,C13,C15,C2,C22,C23,C24,C3,C30,C31,C5,C9",C_1206_3216Metric,C13585
100n,"C10,C11,C14,C20,C21,C25,C28,C29,C4,C6,C7,C8",C_0603_1608Metric,C14663
75,R22,R_2010_5025Metric,C172257
1M,"R15,R18,R24,R25",R_1206_3216Metric,C17927
110k,R12,R_2010_5025Metric,C20351
LED,"D1,D2,D3",LED_0603_1608Metric,C2290
L7805,U1,TO-252-2,C58069
"74HC595D,110",U2,SOIC-16_3.9x9.9mm_P1.27mm,C5947
2.7k,"R1,R10,R11,R17,R2,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C705647
NE5532,"U4,U8",SOIC-8_3.9x4.9mm_P1.27mm,C7426
LM8261,"U6,U7",SOT-23-5,C7968
4.7u,"C26,C27",CP_Elec_8x10.5,C88701
