Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric,99.311,-108.959,-90.0,top
C10,100n,C_0603_1608Metric,120.905,-106.363,180.0,top
C11,100n,C_0603_1608Metric,121.677,-96.457,0.0,top
C12,10u,C_1206_3216Metric,117.303,-107.685,90.0,top
C13,10u,C_1206_3216Metric,122.055,-92.817,0.0,top
C14,100n,C_0603_1608Metric,162.525,-88.279,-90.0,top
C15,10u,C_1206_3216Metric,152.871,-92.955,-90.0,top
C2,10u,C_1206_3216Metric,88.997,-108.267,-90.0,top
C20,100n,C_0603_1608Metric,163.924,-111.098,-90.0,top
C21,100n,C_0603_1608Metric,166.472,-103.368,180.0,top
C22,10u,C_1206_3216Metric,160.954,-112.928,-90.0,top
C23,10u,C_1206_3216Metric,166.262,-101.2,180.0,top
C24,10u,C_1206_3216Metric,206.599,-101.663,90.0,top
C25,100n,C_0603_1608Metric,210.327,-101.663,90.0,top
C26,4.7u,CP_Elec_8x10.5,204.12,-86.237,-90.0,top
C27,4.7u,CP_Elec_8x10.5,204.12,-111.847,-90.0,top
C28,100n,C_0603_1608Metric,171.401,-84.387,180.0,top
C29,100n,C_0603_1608Metric,165.233,-93.033,180.0,top
C3,10u,C_1206_3216Metric,86.531,-91.105,180.0,top
C30,10u,C_1206_3216Metric,174.593,-84.033,90.0,top
C31,10u,C_1206_3216Metric,165.687,-95.241,180.0,top
C4,100n,C_0603_1608Metric,88.603,-86.283,180.0,top
C5,10u,C_1206_3216Metric,85.035,-99.891,90.0,top
C6,100n,C_0603_1608Metric,88.127,-98.365,180.0,top
C7,100n,C_0603_1608Metric,98.301,-101.121,180.0,top
C8,100n,C_0603_1608Metric,95.191,-101.121,0.0,top
C9,10u,C_1206_3216Metric,99.079,-103.329,180.0,top
D1,LED,LED_0603_1608Metric,134.42,-103.749,-90.0,top
D2,LED,LED_0603_1608Metric,136.96,-103.749,-90.0,top
D3,LED,LED_0603_1608Metric,144.58,-103.749,-90.0,top
R1,2.7k,R_0402_1005Metric,134.42,-100.899,-90.0,top
R10,2.7k,R_0402_1005Metric,114.833,-93.793,90.0,top
R11,2.7k,R_0402_1005Metric,124.469,-101.665,-90.0,top
R12,110k,R_2010_5025Metric,157.419,-84.629,-90.0,top
R15,1M,R_1206_3216Metric,202.707,-101.663,90.0,top
R17,2.7k,R_0402_1005Metric,174.385,-113.801,-90.0,top
R18,1M,R_1206_3216Metric,217.739,-103.213,-90.0,top
R2,2.7k,R_0402_1005Metric,136.96,-100.899,90.0,top
R22,75,R_2010_5025Metric,212.679,-109.959,-90.0,top
R24,1M,R_1206_3216Metric,197.282,-86.224,-90.0,top
R25,1M,R_1206_3216Metric,197.282,-112.243,-90.0,top
R3,2.7k,R_0402_1005Metric,143.236,-104.05,90.0,top
R4,2.7k,R_0402_1005Metric,88.551,-104.237,90.0,top
R5,2.7k,R_0402_1005Metric,88.551,-102.075,90.0,top
R6,2.7k,R_0402_1005Metric,87.301,-95.381,180.0,top
R7,2.7k,R_0402_1005Metric,114.843,-100.329,90.0,top
R8,2.7k,R_0402_1005Metric,114.861,-98.265,90.0,top
R9,2.7k,R_0402_1005Metric,114.831,-96.111,90.0,top
U1,L7805,TO-252-2,94.143,-111.446,-90.0,top
U2,"74HC595D,110",SOIC-16_3.9x9.9mm_P1.27mm,95.599,-88.395,90.0,top
U3,DAC0808LCMX/NOPB,SOIC-16_3.9x9.9mm_P1.27mm,95.599,-96.445,90.0,top
U4,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,120.743,-101.321,-90.0,top
U6,LM8261,SOT-23-5,165.037,-106.396,180.0,top
U7,LM8261,SOT-23-5,213.805,-103.773,0.0,top
U8,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,167.963,-88.925,0.0,top
